Dialetto,Italiano
"♦dinòcio,  dinoción",V.  zinociù  eie.
dintorni,"luoghi  circostanti,  dintorni,  prèssi."
dio,"Dio,  Signore,  la  Divinità.  Che  se  re-"
"feris  a  Dio,  che  ven  da  D.",divino.  A
la  bona  de  D.,"con  semplicità,  roiiamen”"
te.  A  quel  D.,"in  modo  straordinario,  in¬"
stigo  de  D.,"gran  calamità,  gastigo  di  D."
Come  D.  la  manda  (hi  pibba),"a  catinèlle,"
come  D.  la  manda.  Come  D.  vii.,alla
ria.,Dio  l’abbia  in  gloria.  Dir  l'ira  de
D.,"Dir  male,  sparlar  fieramente,  dir  l’i¬"
ra  di  Dio.  En  nome  de  D.,in  nome  di
rata).  Grazia  de  D ■,"di  cose  eccellenti ,"
D.,"grazie  a  Dio,  per  la  grazia  di  Dio."
"Xo  averne,  no  savane  eie.  en  Pò.",non
aveme  ’n  boro  da  Dio,non  averne  af¬
"fatto,  non  averne.  No  èserghe  D.",non
esserci  vèrso.  Per  amor  de  D.,per  I’  a-
mor  di  D.  Prega  D.  che  .  .,"bada,  pre¬"
ga  D.  prega  il  tuo  D.  Servo  de  D.,reli¬
co  Iran.)  Tirar  sii  D.  e  i  Salili,bestem¬
diocesi,"diòcesi,  donde  diocesano,"
dipènder,"dipendere,  cosi  per  aver  origi¬"
"diportar,  diportarse","diportare,  compor¬"
"diprès,  dipreso.  A  ’n",a  un  dipresso  •
dir,"dire,  ne  vari  sensi  :  esprimere,  par¬"
"dtse,  et,  la,  i,  le  diga!",per  richiamar
dre,"dir  male,  sparlare,  sparlar  diètro.  D-"
fbr,"dire  atta  franca,  schiantare  (un  a"
"bugìa,  uno  sproposito).  Dirgke  sora",cen¬
"surare,  biasimare;  che  no  se  poi  d.  s.",ir¬
soa,"aggiungere  la  propria  opinione,  dir"
eie.,"dirle,  dirne  ( espresso  o  sottin¬"
"gliere,  vuotare  il  sacco.  Dirnen  sora",a-
dir  le  sètte  pèste  d’  uno.  D.  sólo,sugge¬
"rire,  soffiare  ;  d.  s.  con  gesti",indettarsi
scolo.  D.  su,"narrare,  esporre,  dir  su  an¬"
tante  bugie).  D.  so  per  cicsa,"bandire,"
"dirla,  a  dirtela  etc.",a  dirla  [francamente)
d.  toni,"a  dir  molto,  a  far  di  molto.  A"
me.  a  so  d.,"a  parer  mio,  suo;  a  mio  a"
"Averla  da,  aver  che  d.","aver  differenza,  liti,"
aver  che  dire  con.  Aver  en  bel  d.,aver
Basta  d.,"basti  dire.  Cosa  te  ne  ’n  dìset,"
se  ne  ’n  di'seli,"qual  è  il  tuo,  il  suo  pa¬"
Come  ’n  dir,"come  chi  dicesse,  cioè  a"
dire.  Far  d.,"stuzziccare,  punzecchiare,  far"
d.,non  curarsi  o  occuparsi  di  quel  che
tufo  d.,"è  un  gran  dire,  è  tutto  dire."
Mar  di  stand,"badare  a  dire,  divulgare,"
la  gke  dii,"non  gli  sta  bene,  non  gli  torna."
AVI-  voi  d.  gnènt,"è  insignificante,  incon¬"
"cina,  Se  fa  presi  a  d . !",è  presto
ben  d.  !,te  l’ ho  detto  !  te  lo  dicevo  !  vo¬
d.,voglio  dire  (spiegazione).  Tuli  i  voi
d.  la  soa,tutti  vogliono  dir  la  sua.
diramar,"diramare,  distribuire,"
dirèa,"diarrea,  fami/.  correntina.  V.  ca¬"
dirèt,direttamente;  immediatamente.
diretritje,direttrice.
direzión,direzione  ne’  vari  sensi:  ufficio
d.,"non  sapersi  governare,"
dirìger,"dirigere,  reggere,  governare;  indi¬"
rizzare.  Che  serve  ad.,direttivo  (in
dirimpèto,"dirimpetto,  dicontro,  di  faccia,"
dirocar,"diroccare,  disfare.  Casa,  tóre  di¬"
"roda,  mòia  dirocada","casa,  torre  diroccata,"
dirotamént,"dirottamente,  a  dirotto  (^foriere';,"
disaminar,"esaminare  attentamente,  di¬"
disapór,"dissapore,  screzio,  disaccordo,"
disaprovàr,"disapprovare,  biasimare,"
disaprovazión,"disapprovazione,  biàsimo,"
disarmar,"disarmar,  anche  per  levare"
disaventura,"disavventura,  malawenturai"
discàr,"discaro,  sgradito,  Se  no  gli"" è  d."
discol,"discolo,  scioperalo.  Viver  da  d,"
disconóser,"disconoscere;  negare,"
discrepanza,"discrepanza,  divergenza,  dis¬"
senso.  Eserghe  d.,dissentire.
"discrèt,  discréto",discreto  ne'  vari  sensi:
discreteza,"discretezza,  moderazione."
discrezión,"discrezione,  discernimento,  cri¬"
discusìón,"discussione,  dìsputa,"
discuter,"discutere,  dibattere  ;  trattare,"
disdeta,"disdetta,  anco  per  sfortuna  spec."
scaramanzia.  Dar  la  d.,"dare,  mandar  la"
disdir,"disdire  ;  sconfessare,"
disdetto,"diciotto,  doride  diciottesimo,"
diségn,ne  vari  sensi ;  oggetto  disegnato  ;
mappa.  Dar  el  so  d.,assegnare  il  com¬
disegnar,disegnare  ne'  vari  sensi;  deli¬
disendenza,"discendènza,  stirpe;  genera¬"
disenteria,"dissenteria,"
diseparar,"separare,  disseparare,  disgiun¬"
diseredar,"diseredare,"
disernimént,"discernimento,  criterio,  buon"
disertar,"disertare;  abbandonare;  fuggire,"
disertór,disertore;  fuggitivo;  dissidente
diserzión,diserzione  ;  abbandono  ;  fuga.
disestar,"dissestare,  sconcertare  ;  disordi¬"
disèsto,"dissèsto,  sconcèrto,"
disgustar,"disgustare,  spiacere.  Èserse  di-"
"sgustadi ,  nar  en  disgusto",romper  l’ami¬
disgusto,dispiacere  per  cattive  azioni
disimpegnar,"compiere  a  dovere,  disimpe¬"
disimpegno,disimpegno.
disimular,"dissimulare;  far  lo  gnorri,"
diéinfetar,"disinfettare,  donde  disinfettan¬"
disinfezión,"disinfczione,"
disiplina,"disciplina,  anco  per  stromento"
la  d.,disciplinare.
disiplinar,"disciplinare,  donde  disciplina¬"
disinterèse,"disinteresse;  onoratezza,"
disinvolto,"disinvolto,  sciolto,  franco,"
disinvoltura,"disinvoltura,  scioltezza,  fran¬"
disisète,diciassètte  donde  diciassettesimo.
disnàr,desinare  (ordinario)  ;  pranzo  (lauto)
d.,"dopo  desinare,  un  dopo  desinare,  do¬"
disnar,desinare  ;  pranzare.  Chi  distia  con
altri,"compagno  di  tavola,  se  invitato  com¬"
"mensale.  D.  a  /naca,  a  ufa","desinare,"
disnaràz,deàìnaraccìo.
disnarét,"deSiuaretto,  pranzetto  ;  desina¬"
disnarón,"desinarone,  piandone.  V.  pranzo."
disnaròt,"deSinarino,  spreg.  desinai  liccio,"
disnòve,"diciannòve,  donde  diciannovesimo,"
disobediènt,"disubbidiènte  ;  riottoso,"
disobedienza,disubbidiènza;  contravven¬
disobedir,disubbidire;  contravvenire;  me¬
disobligar,"disobbligare,  prosciogliere,  di¬"
disonór,"disonore,  disdoro;  scòrno;  più"
"forte  vitupero,  obbrobrio.  Che  fa  d.",di¬
"disonorar,  dìsonorarse","disonorare,  diso¬"
"dispaci,  dispacio","dispaccio,  avviso;  col"
telègrafo  telegramma.  Mandar  en  d.,di¬
dispendi,"dispendio,  donde  dispendioso,"
dispensa,stanza  od  anco  mobile  dove  si
serbano  cose  mangerecce,dispènsa  donde
fascicolo  di  pubblicazione,"dispensa,  pun¬"
"tata  ;  concessione  derogante  alla  legge,",di¬
dispensar,"dispensare,  cosi  per  dar  la  di¬"
dispensiér,dispensière  (in  case  signorili);
"dispèt,  dispèto","dispétto,  sdegno,  stizza."
Par  dispèti,far  dispetti.  Muso  da  d.  -
zante.  Putelbt  che  fa  dispeti,dispeltino.
Per  d.,"per  dispetto;  a  esuberanza,  d’a¬"
vanzo.  Averne  per  d.,averne  a  esube¬
dispetds,"dispettoso,  donde  dispettosamen¬"
dispetót,dispettuccioa
disponibile,"disponibile;  libero,"
disposizión,"disposizione,  anco  per  prepa¬"
"dispòst,  dispósto",dispósto  ne'  vari  sen¬
"clinato,  propenso.  Ben  d.",ben  confor¬
dìsputa,"disputa,  discussione  ;  controversia,"
disputar,"disputare,  discutere;  contendere,"
distante,"distante,  lontano  (maggior  di¬"
distanza,"distanza,  lontananza,"
distilar,"distillare,  lambiccare,"
distilazion,"distillazione,"
distilerìa,"distilleria;  distillatoio;  lambicco,"
distrar,"distrarre,  sviare;  frastornare.  Di¬"
stratte,"distrarsi,  svaghirsi."
distrato,"distratto,  divagato,  dissipato  ;"
distrazión,"distrazione,  dissipazione;  svago,"
distreto,"distretto,  circondario  e  simili."
distretuàl,"distrettuale,"
distribuir,"distribuire,  scompartire,  di¬"
distribuzión,"distribuzione,  dispensa,"
disturba,"leggermente  ammalato,  disturba¬"
disturbar,"disturbare,  incomodare,  .mole¬"
disturbo,"disturbo,  incomodo,  molestia."
"D.  de  salute,  de  stómegh",disturbo  di  sa¬
"lute,  di  stòmaco  etc.  Torse  ’l  d.",pigliar¬
*dito,"detto;  affermazione,  asserzione,  sen¬"
tenza;  intercalare.  Dai  d.  ai  fato...,dal
c’è  di  mezzo  il  gatto.  Che  diti /,che
diurnista,"impiegato  a  giornata ,  diurnista,"
diurno,"di  giorno,  diurno,"
diverbi,"diverbio,  contesa,  questione."
divergenza,"divergenza,  differenza,  dis¬"
"divèrs,  divèrso","divèrso;  dissimile,  dif¬"
ferènte.  Éser  d.,diversificare.
diversamént,"diversamente,  in  caso,  in"
divertimént,"divertimento,  spasso,  trat-"
"tenim  rito,  trastullo.  D.  da  gnènt",diver-
timentnccio.  Torse  cn  d.,pigliarsi  un  di-
divertir,"divertire,  intrattenere.-  trastullare"
dividendo,dividendo  nei  vari  sensi.
divider,"dividere,  partire;  disgiungere,  se¬"
parare.  D.  con  altri.,condividere.  D.  per
divièto,"divièto,  proibizione,"
"divin,  divino","divino;  celèste,"
divinamént,divinamente  nel  senso  di
divinis.  A.,a  divit'is  (sospèndere).
divinità,"divinità,  anco  iperb. per  eccellèn¬"
divisa,"divisa  ;  assisa,  uniforme,"
divisamènt,"divisamente),  disegno,  pensiero"
divisibile,divisibile.
divisiòn,divisione  ne’  vari  sensi  :  spar¬
d.,"far  la  divisione  del  patrimonio,"
divisóri,divisorio.
^diveltar,"smuovere,  piegare  (da  un  di-"
divorar,"divorare,  ingoiare.  D.  coi  oci  -"
divorziare  da.  Eser  en  d.,"esser  divièo,"
divòt,"devoto,  pio."
divozión,devozione:  dimin .  devozioncèlla.
Far  le  só  d.,"far  le  sue  devozioni,  cioè,"
divulgar,"divulgare,  propalare  ;  strombaz¬"
Dio  !  per  Giove  !  No  averne  en  d.,non
dizionari,"dizionario,  vocabolario,  Se  pic¬"
*do\  En,"dove,"
*dobelón,"gioco  di  carte ,  simile  alla"
doblét,dobletto  ( tessuto  di  cotone ).
dòcia,"doccia,  donde  docciatura,"
dòcile,"docile,  donde  docilmente,  pieghe¬"
dofilità,"docilità,  arrendevolezza,  pieghe¬"
"dódes,  dódese",dodici.  Quel  che  dis  d.  -
doga,doga.  Meter  o  remeter  le  doghe  -
dogare.  Senza  d.,"fig.  senza  consistenza,"
dogana,"dogana,  donde  doganale,"
doganiér,doganière.
dogma,"dogma,  donde  dogmatico,  dogma¬"
coppiati.  Da  le  d.,alia  seconda  mula
(de[  filugelli).  Farse  en  d.,"fare,  lavora¬"
tult’  e  due.  Una  de  le  d.,una  delle  due.
dòia,"doglia  ( reumatica ),  più  spesso  per"
part.,"avere  i  dolori,  le  dòglie  del  parto"
dòl.  Éser  en  d,"essere  in  dòlo,  in  frode,"
"dol^,  dol(je",dolce  ne'  vari  sensi:  dolcez¬
"za,  dolciume.  Deventar,  far  d.",indolci¬
"re  ;  dolcificare,  addolcire.  D.  de  sai",sci¬
sale.  D.  che  stómega,smaccato  anche
- ren  etc.  d.,"legna,  ranno,  piatto,  salita,"
terra  etc.  dolce.  Vin  d.,"vino  dolce,  a-"
dolcét,dolcetto.
dolceza,"dolcezza;  soavità,  amorevolezza."
dol9i,"dolci,  confetti,  confetture,  chicche,"
dolcin,dolcigno;  dolciastro.  F.  do/(.
doler  (poco  usalo),dolere.  D.  en  poc  -
doliccicare.  Me  pento  e  me  dolgo,mi
Saver  sempre  ’n  do  ghe  dòl,essere  acci¬
doler,"Chi  bella  donna  vuol  parere,  la"
dolérse,"lamentarsi,  dolersi;  attristarsi,"
dolór,dolore  (il'  animo  e  di  corpo)  ne’
tormento  ( del  corpo)  D.  grand,dolor
dolorét,"doloretto  (ih  corpo),  da  nulla,"
doloroso,"doloroso,  donde  dolorosamente,"
dòm,"duomo,  cattedrale,"
domàn,"domani.  Domini  a  àio,  a  quìn-"
des,"domani  a  otto,  a  quindici.  D.  ian¬"
tina,"domàn  mattina,  domattina.  D.  de"
sera,"domani  sera.  Posdomàn,  dopo  do-"
mini,"domàn  l’altro,"
domanda,"domanda,  interrogazione  ;  ri¬"
domandar,"domandare,  interrogare  ;  (più"
de  uno,"domandale,  chièdere  notizie,  do¬"
richièdere.  A  forza  de  d.,a  forza  di  do¬
domandina,"domandina,  imerrogazioncèl-"
domar,domare  nei  vari  sensi :  mansue¬
domatór,domatore.
domenedio,"Domeneddio,  il  Signore  Dio"
domenicàn,"domenicano,"
domesticar,"addomesticare,  mansuefare.  ."
domicili,"domicilio,  donde  domiciliare.'  h)"
'l'or  d.,domiciliarsi.
'domili,"duemila,  popol.  dumila."
dominar,dominare  ne'  vari  sensi:  pre¬
domìnazión,"dominazione,  signoria.  #"
dòmiho,dominò  (abito  per  mascherarsi
don,titolo  premesso  al  nome  (non  al  ca¬
"don,  dono","dono,  in  grande  donativo  ;"
dona,"donna;  voìg,  per  moglie.  Da  ti.  -"
Chi  va  drio  a  tute  le  dime,donnaiolo.
D.  bona  da  gnènt,"dondolomi,  donnarella;"
d.  de  caia,"d.  casalinga,  casereccia,  buo¬"
"ra,  D.  de  servizi","donna  di  servizio,  dome¬"
"stica,  serva.  Fini  de  na  bona  d.",per  au¬
d.  {de  teatro ),"prima  donna,"
donadòr,donatore.
*donàm,"spreg.  quantità  di  donne,  cia¬"
donar,"donare,  regalare,  fare  un  presènte"
"Colerete,  che  dona","colore  etc,  che  conferi¬"
dona  no  se  Tarda  ‘ n  baca,a  cavallo  do¬
donaza,spreg.  donnàcchera  [tV  infima
nante;  chi  la  riceve,donatario.
*donca,"dunque,  adunque»  pertanto,"
dondo  (fanti ni  li),"snono  delle  campane ,"
dondolar,"ciondolare,  donde  dare,"
*donèra,"donnaccia,  femminaccia;  donnàc¬"
donèt,donnino  {che  fa  le  cose  di  casa
doneta,"donnetta,  donnina  (/'/*  senso  tutto"
piccina  e  di  vii  condizione).  En  d.,no¬
donetina,"don  net  lina  in  buon  senso ,  anco"
donfna,donnina  V.  doneta.
dònola,dònnola.  El  vers  de  la  d.  -
"donón,  donona","donna  grande,  donnone;"
*donzèla,camerièra.  Pia  il  senso  di  ra¬
donzèla,sferrina  (del  ferro  da  stirare).
donèena,"dozzina;  dodi  ina;  serqua  (d’orca,"
"dopi,  dopio","doppio  (ne*  vari,  sensi ,  anco"
"doppio  delle  cipolle.  El  d,","a,  al  doppio."
"Tre ,  quatto  volte  d.","a  tre,  quattro  doppi."
"El  dopio  uno ,  dot  etc.  al  domino",dop¬
-  anche  la  china  ;  el  d.  sèi,anche  sèna
(seuz’  articolo).  Scritti ra  d.,scrittura
doppia.  Sonar  d.,sonare  a  doppio  (le
dopi  piar.,bombolo  formato  da  due  bachi
se  ne  trae,seta  di  doppi.  1).  en  grana
do  pia,"sorta  di  vecchia  moneta  d'o/o ,  co¬"
me  D.  de  Genova,doppia  di  etc.
*dopia,schioppo  a  due  canne.  V.  dopici
"dopiamént,  dopiamente","doppiamente,"
dopiar,"addoppiare.  D.  tre  volte,  quattro ,"
cinque  etc.,"triplicare,  quadruplicare,  quin¬"
*dopiét,piccolo  {bòi bolo)  doppio.  V.  dopi
*dopiét,scarica  quasi  contemporanea  delle
dopiéza,"doppiezza;  finzione,"
dòpo,"dòpo,  di  poi,  in  appresso,"
doprar,"adopl’»re,  usare;  servirsi,  giovarsi"
Che  se  poi  d.  V  un  per  l*  altro,promi¬
*dòrmia,V.  ondò  mila.
dormida,dormita;  dn indura.  Darghe  na
gran  d.,"fare  una  buona,  una  solenne"
dormidìna,"dormitina,  sonnerello."
dormidona,"dormitomi,"
dormiènte.  1  sèie  dormiènti.,i  sètte  dor-
dormir,"dormire  (anehe  dei  bachi,  per  i"
"quali  V,  c avaler.  )  D.  ogni  tant",dor¬
micchiare.  D.  molto,ess  t  un  dormiglione.
Dormir  for,"smaltire  dormendo,  rifarsi  col"
sonno.  Dormir  i  so  s' ni  tranquilli,non
sonni.  Dormirghe  sora,dormirci  sopra.
El  parlar  dormendo,sonnilòquio;  chi
"parla  dormendo,  sonnìlnquo  Far  d.",con¬
tare.  Afèter  a  d.,"mettere  a  dormire,"
d '.,"rap piccare  il  sonno,  i i addormentarsi"
Tra  7  d.  e  ’  l  ve  già  r,dormiveglia.  D.
"come  cn  tas,  come  eri  z'>c",dormir  pro¬
dormitòri,"dormentorio,  dormitorio,"
dòs,"altura,  colle,  poggio,  in  senso  gener.,"
En  d.  e  na  vai  fa  na  pianura,i  beni
dosàr,"dosare  donde  dosatura,"
dosènto,"dugènto,  duecènto,"
dosèntomili,dugèntomila.
dote,"dote  c  volg.  dota,  donde  dotale,*  qua¬"
lità;  ( pregevole )  Dar  la  d.,dotare;  do¬
doterèla,"dotcrèlla,  dotina."
dotona,"gran  dote,  dotona."
dotór,"dottore,  anco  per  medico.  De  d.  -"
dottorale.  Da  d.,dottoralmente  (p.  c.  sen¬
el  d.,"fare  il  saccente,  il  sopracc'ò,  il  pro-"
D.  dei  mè  stivai,"dottore  ign  rante,  dot¬"
dotora,"dottoressa,  dottora  ;  saputella,"
d otorato,"dottorato,  làurea,"
dotorèl,"saccentino,  scìolo,  saputèllo,  spu¬"
dotorèla,vanerèlla.  V.  dotorèl.
dotoresa,V.  dotora.
dotorìn,dottor  giovane  dottoiino.
dotorón,"dottoionc,  inm,  per  dotorèl ."
dotrina,"dottrina,  anco  così  solo  per  dot¬"
Mova,V.  doga.
*dovar,accoppiare  (le  farfalle  dei  bachi).
dove,V.  endò.
dover  {sosti),"dovere  (pinti,  morale),  obbligo"
"(pinti,  giuridico ).  Ad .","bene,  a  dovere,"
convenientemente.  Che  é  de  d.,che  è  di
Far  el  so  d.,"salutare,  complimentare,"
i  so  doveri,fare  i  compiti  {di  sa t ola)  .
Star  a  d.,star  a  dovere.  Tegnir  a  d.  -
dover  (verbo),dovere  ne’  vari  sensi  :  esser
dovunque,"in  qualunque  luogo ,  dovun¬"
Sangue  de  d.,sangue  di  drago  ( resina) .
dragón,dragone  (soldato).  D.  de  na  dona
dragóna,dragona.
drama,dramma;  tragedia.  Chi  scrive  dram¬
mi,drammaturgo.
dramàtico,"drammatico,  donde  drammati¬"
drapèl,"drappello,  schièra,"
*drazadura,vagliatura.
"*drazar,  drazaro",vaglialo.
*drazar,vagliare.
*drazaròla,digi  aspatrice.
*drazumi,mondaglia  che  si  coi* a  va¬
*dreghe  (rust.),"diètro;  diètro  a  lui,  a"
*dreme  (rust.),"diètro  a  me,  con  me."
*drene  (rust.),"diètro  a  noi,  con  noi."
drent  (o  dent  o  dentro),"dentro,  entro,"
"l’interno,  il  di  dentro.  En  d.",in  dentro.
Ciaparghe  d.,"pigliar  l’occasione,  coglier  il"
"destro.  Éser,  me  ter  d.","essere,  mettere  in"
imprigionare.  Farse  d.,"assuefarsi,  imprati¬"
chirsi.  Méter  d.  (na  sùptiea),"presentare,"
"avanzare;  (la  spada),","rinfoderare,  ringuai-"
nare.  Meteme  d.,"Far  giudizio  o  senno,"
"métter  cervello.  Nar ,  vegnìr  d.","entrare,"
d.,"non  aver  sale  in  zucca,  esser  di  poco"
d.  (col  presi),"starci  con  guadagno,  rien¬"
"trarci.  Trarghe ,  darghe  d.",spender  più
*drese  (rust.),"diètro  a  sè,  con  sè."
"ciambella,  ciambellina.  Far  le  d.",far  le
treccie.  Far  su  a  d.,"intrecciare,  far  le"
*drezòta,trccciòla.  — ^
*drio,"diètro,  ne ’  vari  sensi  :  seco,  dopo,"
a  d.,"di  sèguito,  seguita  mente.  Còrer  d."
Dar  d.,far  parlare  fingendo  di  credere
il  lung’ Adige.  Darghe  </.,secondare;  «-
d.,"il  deretano,  il  sedere,  il  di  diètro;"
mente  (anche  di  tempo').  Dir  d.,mormo¬
parole  eie.,"diètro,  secondo  le  sue  limo¬"
le  etc.  D.  man,"seguentemente,  successi¬"
"vamente,  via  via.  D.  strada",lungo  la
"via,  cammin  incendo.  El  d.",il  di  diètro
{/.  e.  d’ una  casa).  En  d.  cui,rinculan¬
"do,  indietreggiando.  Eser  d.  a",esser  oc¬
più  sotto  star.  iVar  en  d.,"deperire,  peg¬"
"giorare,  andare  in  malora.  Narghe  J.",ri¬
"toccare,  ripassare  [un  lavorò).  Star  d.",star
tener  dietro.  Tirar  d.,tirar  dietro  -
Vàrdete  en  d.  veli!,guarda  te  stesso!
*driopónt,"punto  addiètro,"
drit,"diritto,  dritto,  ritto;  rètto;  ftg.  ac¬"
1).  e  rovèrs,dritto  e  rovescio.  D.  de
Eser  e!  braz  d.,"esser  l’aiuto  più  valido,"
esser  il  braccio  dritto.  lei  più  dritti,il
"mente,  rettamente.  Star  su  d.",star  drit¬
to.  Su  d.  come  ’n  pai,piantato  li  come  un
Sto/a  che  gita  do  tiriti,"due  ritti,  due"
diritti.  D.  come  ’n  fui,"diluissimo,  dirit¬"
"’n  fi!,  come  ’n  lumia","ditilato,  dilata¬"
drita,"mano  dèstra,  diritti;.  A  la  d.  -"
a  dèstra.  Dar  la  d.  a  uno,dare  la  di¬
"ritta.  Dar  hi  d.,  mcter  a  man  d.",dare
a  la  d.,"andare,  prendere,  leuciti  a  dè¬"
"drito,  dritón","accorto,  scaltro,  astuto,  di¬"
"dritura  K.  endritura,  anco",linea  rètta
eser  en  d.,"esser  in  dirittura,"
drogaria,drogheria.
dromedari,"dromedario;  ftg.  spilungone,"
"*dròmer,  dromir",(rusl.)  lr.  dormir.
dubièt,"dubbietto,  dubbierello."
dubieza,"dubbiezza,  incertezza,  .irresolu¬"
"dubi,  dubio",dubbio  ;  sospetto  ;  supposi¬
zione.  Pieoi  d.,"dubbietto,  dubbierello.  ,"
dubiós,"dubbio,  dubbioso,  incetto,  per¬"
dubitar,"dubitare,  esitare,  sospettare.  Clic"
no  se  pòi  d.,"indubitabile,  incontestabile,"
duca,"duca,  donde  ducale."
"Brao  de  he, terse  en  d.",ducllista.
"duét,  duetìn","duetto,  duellino,"
"dugo,  gran  dugo","gufo  (reale)’,  fignr."
